
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672092: losses = 25420.275332429257, delta_magnet = 0.0005491367241340465 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672092: losses = 25420.275332689605, delta_magnet = 0.0005491367241340465 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672155: losses = 25423.30609352092, delta_magnet = 0.0005491367241340465 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967336: losses = 208607.2631529714, delta_magnet = 0.00018304557471134886
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 628318.5307179586, A_magnet = 0.011519981499672139: losses = 7711.885159606479, delta_magnet = 0.0017365227951071417 
Periodic Sim: PZ = 8, Tau = 1, omega = 628318.5307179586, A_magnet = 0.01151998149985703: losses = 63462.017919999635, delta_magnet = 0.0005788409317023806
Periodic Sim: PZ = 8, Tau = 1, omega = 628318.5307179586, A_magnet = 0.01151998149985703: losses = 63462.0179077625, delta_magnet = 0.0005788409317023806
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981499672106: losses = 240.3928293285092, delta_magnet = 0.017365227951071417 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981504570731: losses = 2006.0617629963458, delta_magnet = 0.005788409317023805
Periodic Sim: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981504570731: losses = 2006.0617629963835, delta_magnet = 0.005788409317023805
Periodic Sim: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981504730704: losses = 20617.776770925255, delta_magnet = 0.017365227951071417
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981499672106: losses = 2494.7294979212666, delta_magnet = 0.017365227951071417 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981499672106: losses = 2494.729453324332, delta_magnet = 0.017365227951071417 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981499672106: losses = 2494.729452071227, delta_magnet = 0.017365227951071417 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981504730704: losses = 20617.776770802593, delta_magnet = 0.017365227951071417
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981499672106: losses = 2494.7294495733186, delta_magnet = 0.017365227951071417 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981499672111: losses = 2494.7294555696044, delta_magnet = 0.017365227951071417 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 263893.7829015426, A_magnet = 0.01151998149967212: losses = 4643.230628873457, delta_magnet = 0.002679512845705673 
Periodic Sim: PZ = 8, Tau = 1, omega = 263893.7829015426, A_magnet = 0.011519981500432161: losses = 38312.26534836759, delta_magnet = 0.0008931709485685576
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 263893.7829015426, A_magnet = 0.01151998149967212: losses = 4643.230628448512, delta_magnet = 0.002679512845705673 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.012691996041291781: losses = nan, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 263893.7829015426, A_magnet = 0.011519981500432161: losses = 38312.265339735, delta_magnet = 0.0008931709485685576
Periodic Sim: PZ = 8, Tau = 1, omega = 263893.7829015426, A_magnet = 0.011519981500407762: losses = 44672.218476654634, delta_magnet = 0.002679512845705673
Periodic Sim: PZ = 8, Tau = 0.9, omega = 263893.7829015426, A_magnet = 0.08294386680538067: losses = 420285.92572795646, delta_magnet = 0.002679512845705673
Periodic Sim: PZ = 8, Tau = 1, omega = 263893.7829015426, A_magnet = 0.011519981500407762: losses = 44672.21846774263, delta_magnet = 0.002679512845705673
Periodic Sim: PZ = 8, Tau = 0.9, omega = 263893.7829015426, A_magnet = 0.010367983350369571: losses = 52535.76221055977, delta_magnet = 0.002679512845705673
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672136: losses = 25423.289559507117, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.0057600000000000064: losses = 10338.934230791478, delta_magnet = 0.00018304557471134886 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967336: losses = 208607.26430590343, delta_magnet = 0.00018304557471134886
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672136: losses = 25423.289358332764, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.0057600000000000064: losses = 10338.934243987902, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 16, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672061: losses = 10338.911411993184, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 16, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011520000000000013: losses = 10338.934245779907, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.0057600000000000064: losses = 10338.9342367006, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672136: losses = 25423.289133610477, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 12, Tau = 1, omega = 6283185.307179586, A_magnet = 0.008640000000000009: losses = 10338.934242467236, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672092: losses = 25423.314306520322, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 16, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011520000000000013: losses = 10338.934237056617, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672087: losses = 25423.29407009708, delta_magnet = 0.00018304557471134886 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967336: losses = 208607.2626894084, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967336: losses = 208607.26425595765, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967336: losses = 208607.26394616527, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673053: losses = 208607.39500811644, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673053: losses = 208607.39207227516, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673052: losses = 214421.152871255, delta_magnet = 0.0002075541725473383
Periodic Sim: PZ = 8, Tau = 1, omega = 1256637.0614359172, A_magnet = 0.011519981499683838: losses = 94682.47633412981, delta_magnet = 0.00046410523882956916
Periodic Sim: PZ = 8, Tau = 1, omega = 1570796.3267948965, A_magnet = 0.011519981499677914: losses = 106115.14284158267, delta_magnet = 0.0004151083450946766
Periodic Sim: PZ = 8, Tau = 1, omega = 1570796.3267948965, A_magnet = 0.011519981499673539: losses = 106101.3433449587, delta_magnet = 0.0004151083450946766
Periodic Sim: PZ = 8, Tau = 1, omega = 1570796.3267948965, A_magnet = 0.011519981499673539: losses = 106101.34336371452, delta_magnet = 0.0004151083450946766
Periodic Sim: PZ = 8, Tau = 1, omega = 628318.5307179586, A_magnet = 0.011519981499673183: losses = 66358.76788841157, delta_magnet = 0.000656343923121181
Periodic Sim: PZ = 8, Tau = 1, omega = 1550904.0555802546, A_magnet = 0.011519981499672111: losses = 101787.71927250482, delta_magnet = 0.00036843145589305026
Periodic Sim: PZ = 8, Tau = 1, omega = 1550904.0555802546, A_magnet = 0.011519981499672111: losses = 101787.71929166482, delta_magnet = 0.00036843145589305026
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672153: losses = 208604.81868064043, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672153: losses = 2.214204688278518e-05, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981504703706: losses = 161.75871396120874, delta_magnet = 0.005788409317023805
Flat Sim A_mag: PZ = 16, Tau = 0.8333333333333334, omega = 592.7388765143792, A_magnet = 0.00959999999999996: losses = 0.04914476700615193, delta_magnet = 0.018845925143047625 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 592.7388765143792, A_magnet = 0.004799999999999985: losses = 0.049147237065090735, delta_magnet = 0.018845925143047625 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 592.7388765332149, A_magnet = 0.004799999999999979: losses = 0.04914703688422336, delta_magnet = 0.018845925142748184 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 497.63858390621806, A_magnet = 0.004799999999999992: losses = 0.034661306296416734, delta_magnet = 0.02056800386685635 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 497.63858390621806, A_magnet = 0.004799999999999985: losses = 0.03466138092357862, delta_magnet = 0.02056800386685635 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 1256.6370614359173, A_magnet = 0.004799999999999973: losses = 0.22000290311753753, delta_magnet = 0.01294327671445836 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 125663.70614359173, A_magnet = 0.005759999999999982: losses = 769.7322672851836, delta_magnet = 0.0012943276714458358 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 125663.70614359173, A_magnet = 0.005759999999999982: losses = 769.7322672856556, delta_magnet = 0.0012943276714458358 
Flat Sim A_mag: PZ = 8, Tau = 0.999, omega = 125663.70614359173, A_magnet = 0.005754239999999977: losses = 769.8025485606158, delta_magnet = 0.0012943276714458358 
Flat Sim A_mag: PZ = 8, Tau = 0.999, omega = 125663.70614359173, A_magnet = 0.005754239999999977: losses = 769.8025485611247, delta_magnet = 0.0012943276714458358 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 125663.70614359173, A_magnet = 0.004799999999999973: losses = 626.794056392053, delta_magnet = 0.0012943276714458358 
Flat Sim A_mag: PZ = 8, Tau = 1.0, omega = 592.7388765332149, A_magnet = 0.0057599999999999735: losses = 0.058816913373523204, delta_magnet = 0.018845925142748184 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 592.7388765332149, A_magnet = 0.0057599999999999735: losses = 0.05881691337338187, delta_magnet = 0.018845925142748184 
Flat Sim A_mag: PZ = 8, Tau = 0.8, omega = 592.7388765332149, A_magnet = 0.004607999999999982: losses = 0.047088853634941835, delta_magnet = 0.018845925142748184 
Flat Sim A_mag: PZ = 8, Tau = 0.8, omega = 659.7344572538566, A_magnet = 0.00460799999999998: losses = 0.058412642100839754, delta_magnet = 0.017863418971371153 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 659.7344572538566, A_magnet = 0.0057599999999999865: losses = 0.0729575340602596, delta_magnet = 0.017863418971371153 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 659.7344572538566, A_magnet = 0.009599984583060083: losses = 7.024489003779629, delta_magnet = 0.02025521321297199 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 659.7344572538566, A_magnet = 0.009599984583060082: losses = 7.02450647706546, delta_magnet = 0.02025521321297199 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 659.7344572538566, A_magnet = 0.009599984583060082: losses = 2.491026862882583, delta_magnet = 0.017863418971371153 
